item_nr,sa,sb,cond,cond_drop,cond_pro,obj,obj_gen,mod,v
I1,A: Was ist mit der Zeitschrift?,B: Kann ich Ihnen morgen zurückgeben. ,drop_sie,drop,sie,,,,
I1,A: Was ist mit der Zeitschrift?,B: Die kann ich dir morgen zurückgeben.,full_du,full,du,,,,
I2,A: Was ist mit dem Buch?,B: Soll ich dir morgen vorbeibringen. ,drop_du,drop,du,,,,
I2,A: Was ist mit dem Buch?,B: Das soll ich Ihnen morgen vorbeibringen. ,full_sie,full,sie,,,,
I3,A: Was ist mit dem Auto?,B: Kann ich Ihnen später vorführen. ,drop_sie,drop,sie,,,,
I3,A: Was ist mit dem Auto?,B: Das kann ich dir später vorführen. ,full_du,full,du,,,,
I4,A: Wo ist der Hund?,B: Kann ich dir nachher zeigen. ,drop_du,drop,du,,,,
I4,A: Wo ist der Hund?,B: Den kann ich Ihnen nachher zeigen. ,full_sie,full,sie,,,,
I5,A: Wo ist der Brief?,B: Muss ich Ihnen morgen schicken. ,drop_sie,drop,sie,,,,
I5,A: Wo ist der Brief?,B: Den muss ich dir morgen schicken. ,full_du,full,du,,,,
I6,A: Wo ist die Meldung?,B: Kann ich dir später weiterleiten.,drop_du,drop,du,,,,
I6,A: Wo ist die Meldung?,B: Die kann ich Ihnen später weiterleiten.,full_sie,full,sie,,,,
I7,A: Wie ist das Ergebnis?,B: Kann ich Ihnen nachher vorlesen.,drop_sie,drop,sie,,,,
I7,A: Wie ist das Ergebnis?,B: Das kann ich dir nachher vorlesen.,full_du,full,du,,,,
I8,A: Wann kommt das Paket? ,B: Will ich dir morgen schicken. ,drop_du,drop,du,,,,
I8,A: Wann kommt das Paket? ,B: Das will ich Ihnen morgen schicken. ,full_sie,full,sie,,,,
I9,A: Wer ist Peter Schmitt?,B: Kann ich Ihnen später vorstellen.,drop_sie,drop,sie,,,,
I9,A: Wer ist Peter Schmitt?,B: Den kann ich dir später vorstellen.,full_du,full,du,,,,
